"","date","time","volume","tradingphase"
"93","2020-03-30","14:35:00",333453,"CONTINUOUS"
"94","2020-03-30","14:40:00",386673,"CONTINUOUS"
"95","2020-03-30","14:45:00",547350,"CONTINUOUS"
"96","2020-03-30","14:50:00",595551,"CONTINUOUS"
"97","2020-03-30","14:55:00",498715,"CONTINUOUS"
"98","2020-03-30","15:00:00",738093,"CONTINUOUS"
"99","2020-03-30","15:05:00",644491,"CONTINUOUS"
"100","2020-03-30","15:10:00",925206,"CONTINUOUS"
"101","2020-03-30","15:15:00",967469,"CONTINUOUS"
"102","2020-03-30","15:20:00",853784,"CONTINUOUS"
"103","2020-03-30","15:25:00",1115332,"CONTINUOUS"
"104","2020-03-30","",23214580,"CLOSING AUCTION"
"105","2020-03-31","",487107,"OPENING AUCTION"
"106","2020-03-31","07:00:00",454251,"CONTINUOUS"
"107","2020-03-31","07:05:00",843307,"CONTINUOUS"
"108","2020-03-31","07:10:00",395693,"CONTINUOUS"
"109","2020-03-31","07:15:00",736841,"CONTINUOUS"
"110","2020-03-31","07:20:00",319680,"CONTINUOUS"
"111","2020-03-31","07:25:00",256336,"CONTINUOUS"
"112","2020-03-31","07:30:00",326591,"CONTINUOUS"
"113","2020-03-31","07:35:00",789256,"CONTINUOUS"
"114","2020-03-31","07:40:00",256465,"CONTINUOUS"
"115","2020-03-31","07:45:00",515394,"CONTINUOUS"
"116","2020-03-31","07:50:00",432482,"CONTINUOUS"
"117","2020-03-31","07:55:00",306140,"CONTINUOUS"
"118","2020-03-31","08:00:00",469133,"CONTINUOUS"
"119","2020-03-31","08:05:00",276058,"CONTINUOUS"
"120","2020-03-31","08:10:00",220399,"CONTINUOUS"
"121","2020-03-31","08:15:00",466064,"CONTINUOUS"
"122","2020-03-31","08:20:00",259081,"CONTINUOUS"
"123","2020-03-31","08:25:00",373435,"CONTINUOUS"
"124","2020-03-31","08:30:00",356407,"CONTINUOUS"
"125","2020-03-31","08:35:00",326818,"CONTINUOUS"
"126","2020-03-31","08:40:00",598280,"CONTINUOUS"
"127","2020-03-31","08:45:00",526516,"CONTINUOUS"
"128","2020-03-31","08:50:00",554110,"CONTINUOUS"
"129","2020-03-31","08:55:00",958628,"CONTINUOUS"
"130","2020-03-31","09:00:00",405353,"CONTINUOUS"
"131","2020-03-31","09:05:00",389043,"CONTINUOUS"
"132","2020-03-31","09:10:00",432003,"CONTINUOUS"
"133","2020-03-31","09:15:00",436302,"CONTINUOUS"
"134","2020-03-31","09:20:00",353165,"CONTINUOUS"
"135","2020-03-31","09:25:00",241708,"CONTINUOUS"
"136","2020-03-31","09:30:00",802951,"CONTINUOUS"
"137","2020-03-31","09:35:00",636236,"CONTINUOUS"
"138","2020-03-31","09:40:00",392586,"CONTINUOUS"
"139","2020-03-31","09:45:00",239369,"CONTINUOUS"
"140","2020-03-31","09:50:00",207203,"CONTINUOUS"
"141","2020-03-31","09:55:00",204811,"CONTINUOUS"
"142","2020-03-31","10:00:00",172916,"CONTINUOUS"
"143","2020-03-31","10:05:00",250870,"CONTINUOUS"
"144","2020-03-31","10:10:00",192112,"CONTINUOUS"
"145","2020-03-31","10:15:00",454326,"CONTINUOUS"
"146","2020-03-31","10:20:00",665902,"CONTINUOUS"
"147","2020-03-31","10:25:00",942134,"CONTINUOUS"
"148","2020-03-31","10:30:00",374759,"CONTINUOUS"
"149","2020-03-31","10:35:00",315208,"CONTINUOUS"
"150","2020-03-31","10:40:00",367884,"CONTINUOUS"
"151","2020-03-31","10:45:00",362460,"CONTINUOUS"
"152","2020-03-31","10:50:00",544413,"CONTINUOUS"
"153","2020-03-31","10:55:00",313501,"CONTINUOUS"
"154","2020-03-31","11:00:00",735365,"CONTINUOUS"
"155","2020-03-31","11:05:00",141967,"CONTINUOUS"
"156","2020-03-31","11:10:00",216548,"CONTINUOUS"
"157","2020-03-31","11:15:00",147234,"CONTINUOUS"
"158","2020-03-31","11:20:00",599098,"CONTINUOUS"
"159","2020-03-31","11:25:00",345950,"CONTINUOUS"
"160","2020-03-31","11:30:00",125593,"CONTINUOUS"
"161","2020-03-31","11:35:00",230243,"CONTINUOUS"
"162","2020-03-31","11:40:00",182286,"CONTINUOUS"
"163","2020-03-31","11:45:00",187581,"CONTINUOUS"
"164","2020-03-31","11:50:00",286495,"CONTINUOUS"
"165","2020-03-31","11:55:00",235810,"CONTINUOUS"
"166","2020-03-31","12:00:00",317697,"CONTINUOUS"
